iter	Passed	Remaining
250	582	1274
251	584	1270
252	585	1266
253	587	1261
254	588	1257
255	590	1253
256	592	1251
257	593	1247
258	595	1242
259	596	1238
260	597	1234
261	599	1230
262	600	1225
263	601	1221
264	602	1217
265	604	1213
266	605	1209
267	607	1206
268	609	1202
269	610	1199
270	612	1195
271	614	1191
272	615	1187
273	616	1183
274	618	1179
275	619	1176
276	620	1171
277	623	1170
278	624	1166
279	626	1163
280	628	1160
281	629	1156
282	630	1152
283	632	1148
284	633	1145
285	634	1141
286	636	1137
287	638	1134
288	639	1130
289	640	1126
290	642	1123
291	643	1119
292	644	1115
293	646	1112
294	647	1108
295	648	1104
296	650	1101
297	651	1098
298	653	1094
299	655	1091
300	656	1089
301	658	1085
302	659	1082
303	661	1079
304	663	1076
305	664	1073
306	666	1069
307	667	1066
308	669	1063
309	671	1060
310	672	1057
311	674	1054
312	676	1052
313	678	1049
314	679	1046
315	680	1042
316	682	1039
317	683	1036
318	684	1032
319	686	1029
320	687	1026
321	688	1022
322	690	1019
323	691	1016
324	693	1012
325	694	1009
326	695	1006
327	696	1002
328	698	999
329	699	996
330	700	993
331	702	989
332	703	986
333	705	984
334	706	981
335	708	978
336	709	974
337	710	971
338	712	968
339	713	965
340	714	962
341	716	959
342	718	956
343	719	954
344	721	950
345	722	947
346	723	944
347	724	941
348	726	938
349	727	935
350	728	932
351	730	929
352	731	926
353	732	923
354	733	919
355	735	916
356	736	913
357	737	910
358	738	907
359	740	904
360	741	901
361	742	898
362	744	895
363	745	892
364	746	890
365	748	887
366	749	884
367	751	882
368	752	879
369	754	876
370	755	873
371	756	870
372	757	867
373	759	864
374	760	862
375	762	859
376	763	857
377	765	854
378	767	852
379	769	850
380	771	848
381	772	845
382	773	842
383	775	840
384	776	837
385	778	834
386	779	831
387	780	829
388	782	826
389	783	823
390	784	821
391	786	818
392	787	815
393	788	812
394	789	809
395	791	807
396	792	804
397	794	802
398	796	800
399	797	797
400	798	794
401	800	792
402	801	789
403	802	786
404	803	783
405	805	781
406	806	778
407	808	776
408	809	774
409	811	771
410	812	769
411	813	766
412	815	763
413	816	761
414	817	758
415	819	756
416	820	753
417	821	750
418	823	748
419	824	745
420	825	743
421	827	740
422	828	738
423	829	735
424	830	733
425	832	730
426	833	728
427	835	725
428	836	723
429	838	721
430	839	718
431	840	716
432	842	713
433	843	711
434	844	708
435	846	706
436	847	704
437	849	702
438	851	699
439	852	697
440	854	695
441	856	693
442	857	691
443	859	689
444	861	687
445	862	684
446	864	682
447	865	679
448	866	677
449	867	675
450	869	672
451	870	670
452	872	668
453	873	665
454	874	663
455	875	660
456	876	658
457	878	655
458	879	653
459	880	650
460	881	648
461	882	645
462	883	643
463	884	640
464	886	638
465	887	636
466	888	633
467	890	631
468	891	628
469	892	626
470	893	624
471	894	621
472	895	619
473	896	616
474	898	614
475	899	612
476	900	610
477	902	607
478	903	605
479	905	603
480	906	600
481	907	598
482	908	596
483	909	593
484	910	591
485	911	589
486	912	586
487	913	584
488	915	582
489	916	579
490	918	577
491	919	575
492	920	573
493	921	570
494	922	568
495	923	566
496	924	563
497	926	561
498	927	559
499	928	556
500	929	554
501	930	552
502	931	550
503	933	548
504	934	545
505	935	543
506	936	541
507	937	539
508	939	536
509	940	534
510	941	532
511	942	530
512	943	527
513	944	525
514	945	523
515	947	521
516	948	519
517	950	517
518	951	515
519	953	513
520	954	511
521	955	509
522	956	506
523	958	504
524	959	502
525	960	500
526	961	498
527	962	496
528	964	494
529	965	492
530	967	489
531	968	487
532	969	485
533	970	483
534	971	481
535	972	479
536	973	476
537	974	474
538	976	472
539	977	470
540	978	468
541	979	466
542	981	464
543	982	462
544	983	460
545	984	458
546	985	455
547	986	453
548	988	451
549	989	449
550	990	447
551	991	445
552	992	443
553	994	441
554	995	439
555	996	437
556	998	435
557	999	433
558	1000	431
559	1001	429
560	1002	427
561	1003	425
562	1005	423
563	1006	421
564	1007	418
565	1008	416
566	1009	415
567	1011	413
568	1012	411
569	1013	409
570	1015	407
571	1016	405
572	1017	403
573	1018	400
574	1019	398
575	1020	396
576	1021	394
577	1022	392
578	1023	390
579	1025	388
580	1026	387
581	1028	385
582	1029	383
583	1030	381
584	1031	379
585	1032	377
586	1033	375
587	1035	373
588	1036	371
589	1037	369
590	1038	367
591	1039	365
592	1040	363
593	1042	361
594	1043	359
595	1044	357
596	1045	355
597	1046	353
598	1048	351
599	1049	349
600	1050	347
601	1051	345
602	1052	343
603	1053	341
604	1054	339
605	1055	337
606	1057	336
607	1058	334
608	1060	332
609	1061	330
610	1062	328
611	1064	326
612	1065	325
613	1066	323
614	1067	321
615	1068	319
616	1070	317
617	1071	315
618	1072	313
619	1074	311
620	1075	309
621	1076	308
622	1077	306
623	1078	304
624	1079	302
625	1080	300
626	1081	298
627	1083	296
628	1084	294
629	1085	292
630	1086	290
631	1087	289
632	1088	287
633	1090	285
634	1091	283
635	1092	281
636	1093	279
637	1095	278
638	1096	276
639	1097	274
640	1098	272
641	1099	270
642	1100	268
643	1101	266
644	1102	265
645	1104	263
646	1105	261
647	1106	259
648	1108	257
649	1109	255
650	1110	254
651	1111	252
652	1112	250
653	1113	248
654	1114	246
655	1115	244
656	1116	243
657	1117	241
658	1119	239
659	1120	237
660	1122	235
661	1123	234
662	1124	232
663	1125	230
664	1126	228
665	1127	226
666	1128	225
667	1129	223
668	1131	221
669	1132	219
670	1133	217
671	1134	216
672	1136	214
673	1137	212
674	1138	210
675	1139	209
676	1140	207
677	1142	205
678	1143	203
679	1144	201
680	1145	200
681	1146	198
682	1147	196
683	1148	194
684	1150	193
685	1151	191
686	1152	189
687	1154	187
688	1155	186
689	1157	184
690	1158	182
691	1159	181
692	1160	179
693	1161	177
694	1163	175
695	1164	173
696	1165	172
697	1166	170
698	1168	168
699	1169	167
700	1170	165
701	1171	163
702	1172	161
703	1174	160
704	1175	158
705	1176	156
706	1177	154
707	1178	153
708	1179	151
709	1180	149
710	1182	147
711	1183	146
712	1185	144
713	1186	142
714	1187	141
715	1188	139
716	1189	137
717	1190	135
718	1191	134
719	1192	132
720	1194	130
721	1195	129
722	1196	127
723	1197	125
724	1199	124
725	1200	122
726	1201	120
727	1202	118
728	1203	117
729	1205	115
730	1206	113
731	1207	112
732	1208	110
733	1209	108
734	1210	107
735	1211	105
736	1213	103
737	1214	102
738	1216	100
739	1217	98
740	1218	97
741	1219	95
742	1220	93
743	1221	91
744	1222	90
745	1223	88
746	1224	86
747	1225	85
748	1227	83
749	1228	81
750	1229	80
751	1231	78
752	1232	76
753	1233	75
754	1234	73
755	1235	71
756	1236	70
757	1237	68
758	1239	66
759	1240	65
760	1241	63
761	1242	61
762	1243	60
763	1245	58
764	1246	57
765	1247	55
766	1248	53
767	1250	52
768	1251	50
769	1253	48
770	1254	47
771	1255	45
772	1256	43
773	1257	42
774	1258	40
775	1260	38
776	1261	37
777	1263	35
778	1264	34
779	1265	32
780	1266	30
781	1267	29
782	1268	27
783	1269	25
784	1271	24
785	1272	22
786	1273	21
787	1274	19
788	1275	17
789	1277	16
790	1278	14
791	1279	12
792	1280	11
793	1281	9
794	1283	8
795	1284	6
796	1285	4
797	1286	3
798	1287	1
799	1288	0
